"module name","license","repository"
"@csstools/css-calc@3.2.1","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-color-parser@3.1.0","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-color-parser@4.1.9","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-parser-algorithms@3.0.5","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-parser-algorithms@4.0.0","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-syntax-patches-for-csstree@1.1.6","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/css-tokenizer@3.0.4","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/css-tokenizer@4.0.0","MIT","https://github.com/csstools/postcss-plugins"
"@csstools/selector-resolve-nested@3.1.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@csstools/selector-specificity@5.0.0","MIT-0","https://github.com/csstools/postcss-plugins"
"@dabh/diagnostics@2.0.8","MIT","https://github.com/DABH/diagnostics"
"@devframes/hub@0.7.9","MIT","https://github.com/devframes/devframe"
"@devframes/json-render@0.7.9","MIT","https://github.com/devframes/devframe"
"@discoveryjs/json-ext@0.6.3","MIT","https://github.com/discoveryjs/json-ext"
"@dxup/nuxt@0.5.3","MIT","https://github.com/KazariEX/dxup"
"@dxup/unimport@0.1.2","MIT","https://github.com/KazariEX/dxup"
"@e18e/eslint-plugin@0.5.1","MIT","https://github.com/e18e/eslint-plugin"
"@es-joy/jsdoccomment@0.88.0","MIT","https://github.com/es-joy/jsdoccomment"
"@es-joy/resolve.exports@1.2.0","MIT","https://github.com/es-joy/resolve.exports"
"@esbuild/darwin-arm64@0.28.1","MIT","https://github.com/evanw/esbuild"
"@eslint-community/eslint-plugin-eslint-comments@4.7.2","MIT","https://github.com/eslint-community/eslint-plugin-eslint-comments"
"@eslint-community/eslint-utils@4.9.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.2","MIT","https://github.com/eslint-community/regexpp"
"@eslint/compat@2.1.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-array@0.23.5","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.5.5","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.6.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-inspector@3.1.0","Apache-2.0","https://github.com/eslint/config-inspector"
"@eslint/core@1.2.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/css-tree@4.0.4","MIT","https://github.com/eslint/csstree"
"@eslint/eslintrc@3.3.6","MIT","https://github.com/eslint/eslintrc"
